Gap_ID,Gap_Type,Start,End,Duration_Seconds,Previous_Segment_ID,Next_Segment_ID,Machine_Disposition,Human_Classification,Reviewer_A,Reviewer_B,Adjudication,Review_Status
G-0001,Lead,00:00:00.000,00:00:01.060,1.060,,S-0001,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0184,Internal,00:12:52.590,00:12:52.790,0.200,S-0234,S-0235,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0185,Internal,00:13:00.770,00:13:01.050,0.280,S-0236,S-0237,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0186,Internal,00:13:07.850,00:13:08.150,0.300,S-0238,S-0239,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0187,Internal,00:13:12.390,00:13:13.140,0.750,S-0239,S-0240,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0188,Internal,00:13:19.570,00:13:19.790,0.220,S-0241,S-0242,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0189,Internal,00:13:21.710,00:13:21.850,0.140,S-0242,S-0243,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0190,Internal,00:13:24.590,00:13:24.810,0.220,S-0243,S-0244,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0191,Internal,00:13:26.910,00:13:27.070,0.160,S-0244,S-0245,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0192,Internal,00:13:30.810,00:13:31.110,0.300,S-0245,S-0246,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0193,Internal,00:13:32.310,00:13:32.790,0.480,S-0246,S-0247,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0194,Internal,00:13:36.870,00:13:37.510,0.640,S-0248,S-0249,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0195,Internal,00:13:40.010,00:13:40.070,0.060,S-0249,S-0250,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0196,Internal,00:13:40.870,00:13:41.130,0.260,S-0250,S-0251,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0197,Internal,00:13:43.830,00:13:44.310,0.480,S-0251,S-0252,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0198,Internal,00:13:46.730,00:13:46.790,0.060,S-0252,S-0253,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0199,Internal,00:13:48.810,00:13:48.890,0.080,S-0253,S-0254,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0200,Internal,00:13:50.730,00:13:50.830,0.100,S-0254,S-0255,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0201,Internal,00:13:53.830,00:13:56.030,2.200,S-0255,S-0256,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0202,Internal,00:13:57.650,00:13:58.290,0.640,S-0256,S-0257,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0203,Internal,00:14:01.810,00:14:01.910,0.100,S-0258,S-0259,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0204,Internal,00:14:04.310,00:14:04.410,0.100,S-0259,S-0260,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0205,Internal,00:14:06.670,00:14:06.750,0.080,S-0260,S-0261,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0206,Internal,00:14:07.770,00:14:08.070,0.300,S-0261,S-0262,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0207,Internal,00:14:09.810,00:14:10.010,0.200,S-0262,S-0263,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0208,Internal,00:14:11.450,00:14:11.770,0.320,S-0263,S-0264,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0209,Internal,00:14:15.510,00:14:16.070,0.560,S-0264,S-0265,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0210,Internal,00:14:16.790,00:14:18.000,1.210,S-0265,S-0266,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0211,Internal,00:14:21.020,00:14:21.620,0.600,S-0266,S-0267,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0212,Internal,00:14:25.760,00:14:25.920,0.160,S-0267,S-0268,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0213,Internal,00:14:31.600,00:14:31.920,0.320,S-0269,S-0270,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0214,Internal,00:14:33.380,00:14:33.620,0.240,S-0270,S-0271,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0215,Internal,00:14:34.500,00:14:35.690,1.190,S-0271,S-0272,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0216,Internal,00:14:37.190,00:14:38.980,1.790,S-0272,S-0273,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0217,Internal,00:14:40.480,00:14:40.620,0.140,S-0273,S-0274,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0218,Internal,00:14:41.780,00:14:41.920,0.140,S-0274,S-0275,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0219,Internal,00:14:43.980,00:14:44.180,0.200,S-0275,S-0276,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0220,Internal,00:14:45.700,00:14:46.420,0.720,S-0276,S-0277,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0221,Internal,00:14:48.500,00:14:49.040,0.540,S-0277,S-0278,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0222,Internal,00:14:51.600,00:14:52.270,0.670,S-0278,S-0279,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0223,Internal,00:14:53.050,00:14:53.130,0.080,S-0279,S-0280,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0224,Internal,00:14:55.110,00:14:55.170,0.060,S-0280,S-0281,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0225,Internal,00:14:59.770,00:15:01.710,1.940,S-0282,S-0283,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0226,Internal,00:15:04.570,00:15:05.050,0.480,S-0283,S-0284,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0227,Internal,00:15:09.330,00:15:10.590,1.260,S-0284,S-0285,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0228,Internal,00:15:13.870,00:15:17.090,3.220,S-0286,S-0287,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0229,Internal,00:15:21.430,00:15:22.130,0.700,S-0287,S-0288,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0230,Internal,00:15:23.510,00:15:24.050,0.540,S-0288,S-0289,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0231,Internal,00:15:27.490,00:15:27.850,0.360,S-0289,S-0290,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0232,Internal,00:15:31.810,00:15:32.950,1.140,S-0290,S-0291,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0233,Internal,00:15:35.810,00:15:36.790,0.980,S-0291,S-0292,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0234,Internal,00:15:38.990,00:15:39.450,0.460,S-0292,S-0293,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0235,Internal,00:15:43.210,00:15:44.130,0.920,S-0294,S-0295,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0236,Internal,00:15:47.410,00:15:47.570,0.160,S-0296,S-0297,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0237,Internal,00:15:48.490,00:15:50.100,1.610,S-0297,S-0298,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0238,Internal,00:15:54.260,00:15:54.800,0.540,S-0299,S-0300,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0239,Internal,00:15:58.180,00:15:58.920,0.740,S-0301,S-0302,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0240,Internal,00:16:00.540,00:16:00.880,0.340,S-0302,S-0303,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0241,Internal,00:16:01.900,00:16:01.940,0.040,S-0303,S-0304,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0242,Internal,00:16:03.540,00:16:06.260,2.720,S-0304,S-0305,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0243,Internal,00:16:08.360,00:16:08.760,0.400,S-0306,S-0307,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0244,Internal,00:16:11.080,00:16:11.160,0.080,S-0308,S-0309,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0245,Internal,00:16:13.720,00:16:13.760,0.040,S-0309,S-0310,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0246,Internal,00:16:14.880,00:16:15.220,0.340,S-0310,S-0311,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0247,Internal,00:16:24.340,00:16:24.840,0.500,S-0313,S-0314,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0248,Internal,00:16:27.920,00:16:28.340,0.420,S-0314,S-0315,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0249,Internal,00:16:29.820,00:16:29.940,0.120,S-0315,S-0316,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0250,Internal,00:16:31.640,00:16:32.040,0.400,S-0316,S-0317,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0251,Internal,00:16:33.560,00:16:34.120,0.560,S-0317,S-0318,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0252,Internal,00:16:35.760,00:16:35.860,0.100,S-0318,S-0319,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0253,Internal,00:16:37.440,00:16:37.940,0.500,S-0319,S-0320,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0254,Internal,00:16:42.440,00:16:42.660,0.220,S-0321,S-0322,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0255,Internal,00:16:43.080,00:16:43.120,0.040,S-0322,S-0323,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0256,Internal,00:16:44.360,00:16:44.420,0.060,S-0323,S-0324,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0257,Internal,00:16:45.880,00:16:48.040,2.160,S-0324,S-0325,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0258,Internal,00:16:48.460,00:16:48.500,0.040,S-0325,S-0326,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0259,Internal,00:16:49.840,00:16:49.920,0.080,S-0326,S-0327,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0260,Internal,00:16:50.220,00:16:50.580,0.360,S-0327,S-0328,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0261,Internal,00:16:51.300,00:16:51.380,0.080,S-0328,S-0329,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0262,Internal,00:16:52.200,00:16:52.280,0.080,S-0329,S-0330,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0263,Internal,00:16:54.940,00:16:56.340,1.400,S-0330,S-0331,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0264,Internal,00:16:57.560,00:16:57.640,0.080,S-0331,S-0332,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0265,Internal,00:17:03.780,00:17:03.940,0.160,S-0333,S-0334,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0266,Internal,00:17:04.740,00:17:04.840,0.100,S-0334,S-0335,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0267,Internal,00:17:05.740,00:17:06.260,0.520,S-0335,S-0336,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0268,Internal,00:17:08.980,00:17:09.020,0.040,S-0336,S-0337,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0269,Internal,00:17:10.440,00:17:10.680,0.240,S-0337,S-0338,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0270,Internal,00:17:12.120,00:17:12.180,0.060,S-0338,S-0339,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0271,Internal,00:17:13.300,00:17:14.540,1.240,S-0339,S-0340,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0272,Internal,00:17:16.280,00:17:16.340,0.060,S-0340,S-0341,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0273,Internal,00:17:18.400,00:17:18.880,0.480,S-0341,S-0342,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0274,Internal,00:17:23.400,00:17:23.640,0.240,S-0342,S-0343,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0275,Internal,00:17:24.380,00:17:24.980,0.600,S-0343,S-0344,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0276,Internal,00:17:31.340,00:17:31.400,0.060,S-0345,S-0346,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0277,Internal,00:17:32.220,00:17:32.600,0.380,S-0346,S-0347,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0278,Internal,00:17:34.460,00:17:34.860,0.400,S-0347,S-0348,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0279,Internal,00:17:37.000,00:17:38.080,1.080,S-0348,S-0349,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0280,Internal,00:17:38.440,00:17:38.900,0.460,S-0349,S-0350,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0281,Internal,00:17:40.020,00:17:40.200,0.180,S-0350,S-0351,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0282,Internal,00:17:46.440,00:17:46.920,0.480,S-0352,S-0353,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0283,Internal,00:17:49.100,00:17:49.200,0.100,S-0353,S-0354,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0284,Internal,00:17:51.820,00:17:52.490,0.670,S-0354,S-0355,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0285,Internal,00:17:54.510,00:17:54.570,0.060,S-0355,S-0356,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0286,Internal,00:17:59.310,00:17:59.410,0.100,S-0357,S-0358,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0287,Internal,00:18:00.350,00:18:00.610,0.260,S-0358,S-0359,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0288,Internal,00:18:01.350,00:18:01.430,0.080,S-0359,S-0360,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0289,Internal,00:18:03.590,00:18:03.670,0.080,S-0360,S-0361,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0290,Internal,00:18:05.570,00:18:05.650,0.080,S-0361,S-0362,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0291,Internal,00:18:06.430,00:18:06.950,0.520,S-0362,S-0363,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0292,Internal,00:18:08.650,00:18:09.130,0.480,S-0363,S-0364,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0293,Internal,00:18:11.770,00:18:12.190,0.420,S-0364,S-0365,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0294,Internal,00:18:13.290,00:18:13.410,0.120,S-0365,S-0366,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0295,Internal,00:18:14.010,00:18:14.090,0.080,S-0366,S-0367,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0296,Internal,00:18:15.070,00:18:15.150,0.080,S-0367,S-0368,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0297,Internal,00:18:16.670,00:18:17.090,0.420,S-0368,S-0369,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0298,Internal,00:18:17.930,00:18:17.990,0.060,S-0369,S-0370,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0299,Internal,00:18:18.770,00:18:18.890,0.120,S-0370,S-0371,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0300,Internal,00:18:19.570,00:18:19.970,0.400,S-0371,S-0372,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0301,Internal,00:18:24.110,00:18:24.430,0.320,S-0373,S-0374,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0302,Internal,00:18:25.330,00:18:25.490,0.160,S-0374,S-0375,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0303,Internal,00:18:29.470,00:18:30.650,1.180,S-0375,S-0376,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0304,Internal,00:18:32.970,00:18:33.070,0.100,S-0376,S-0377,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0305,Internal,00:18:33.930,00:18:34.070,0.140,S-0377,S-0378,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0306,Internal,00:18:34.870,00:18:34.970,0.100,S-0378,S-0379,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0307,Internal,00:18:35.710,00:18:35.990,0.280,S-0379,S-0380,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0308,Internal,00:18:36.850,00:18:36.930,0.080,S-0380,S-0381,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0309,Internal,00:18:37.530,00:18:37.590,0.060,S-0381,S-0382,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0310,Internal,00:18:38.670,00:18:38.790,0.120,S-0382,S-0383,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0311,Internal,00:18:39.510,00:18:39.770,0.260,S-0383,S-0384,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0312,Internal,00:18:41.170,00:18:41.430,0.260,S-0384,S-0385,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0313,Internal,00:18:48.130,00:18:48.190,0.060,S-0386,S-0387,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0314,Internal,00:18:49.070,00:18:49.110,0.040,S-0387,S-0388,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0315,Internal,00:18:50.790,00:18:51.110,0.320,S-0388,S-0389,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0316,Internal,00:18:53.030,00:18:53.470,0.440,S-0389,S-0390,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0317,Internal,00:18:54.890,00:18:55.390,0.500,S-0390,S-0391,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0318,Internal,00:18:56.930,00:18:57.150,0.220,S-0391,S-0392,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0319,Internal,00:19:00.990,00:19:01.490,0.500,S-0392,S-0393,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0320,Internal,00:19:02.550,00:19:02.610,0.060,S-0393,S-0394,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0321,Internal,00:19:03.210,00:19:03.290,0.080,S-0394,S-0395,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0322,Internal,00:19:05.010,00:19:05.250,0.240,S-0395,S-0396,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0323,Internal,00:19:08.230,00:19:08.570,0.340,S-0397,S-0398,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0324,Internal,00:19:09.430,00:19:09.510,0.080,S-0398,S-0399,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0325,Internal,00:19:11.190,00:19:11.470,0.280,S-0400,S-0401,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0326,Internal,00:19:14.130,00:19:14.230,0.100,S-0401,S-0402,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0327,Internal,00:19:15.650,00:19:16.250,0.600,S-0402,S-0403,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0328,Internal,00:19:19.590,00:19:19.730,0.140,S-0403,S-0404,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0329,Internal,00:19:21.250,00:19:21.630,0.380,S-0404,S-0405,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0330,Internal,00:19:22.230,00:19:22.570,0.340,S-0405,S-0406,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0331,Internal,00:19:23.510,00:19:24.390,0.880,S-0406,S-0407,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0332,Internal,00:19:25.470,00:19:25.610,0.140,S-0407,S-0408,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0333,Internal,00:19:27.550,00:19:27.830,0.280,S-0408,S-0409,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0334,Internal,00:19:28.210,00:19:28.290,0.080,S-0409,S-0410,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0335,Internal,00:19:30.310,00:19:30.710,0.400,S-0410,S-0411,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0336,Internal,00:19:32.470,00:19:32.630,0.160,S-0411,S-0412,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0337,Internal,00:19:34.750,00:19:35.350,0.600,S-0412,S-0413,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0338,Internal,00:19:36.670,00:19:36.750,0.080,S-0413,S-0414,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0339,Internal,00:19:41.210,00:19:41.610,0.400,S-0415,S-0416,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0340,Internal,00:19:44.730,00:19:44.950,0.220,S-0416,S-0417,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0341,Internal,00:19:46.270,00:19:46.370,0.100,S-0417,S-0418,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0342,Internal,00:19:47.130,00:19:47.590,0.460,S-0418,S-0419,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0343,Internal,00:19:48.330,00:19:48.610,0.280,S-0419,S-0420,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0344,Internal,00:19:49.310,00:19:49.390,0.080,S-0420,S-0421,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0345,Internal,00:19:49.870,00:19:49.930,0.060,S-0421,S-0422,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0346,Internal,00:19:51.470,00:19:51.870,0.400,S-0422,S-0423,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0347,Internal,00:19:52.430,00:19:52.530,0.100,S-0423,S-0424,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0348,Internal,00:19:53.150,00:19:53.210,0.060,S-0424,S-0425,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0349,Internal,00:19:54.090,00:19:54.330,0.240,S-0425,S-0426,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0350,Internal,00:19:55.510,00:19:55.650,0.140,S-0426,S-0427,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0351,Internal,00:19:55.750,00:20:08.190,12.440,S-0427,S-0428,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0352,Internal,00:20:11.310,00:20:12.160,0.850,S-0428,S-0429,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0353,Internal,00:20:13.800,00:20:14.300,0.500,S-0429,S-0430,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0354,Internal,00:20:15.580,00:20:15.840,0.260,S-0430,S-0431,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0355,Internal,00:20:17.140,00:20:17.640,0.500,S-0431,S-0432,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0356,Internal,00:20:19.340,00:20:19.940,0.600,S-0432,S-0433,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0357,Internal,00:20:20.820,00:20:21.040,0.220,S-0433,S-0434,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0358,Internal,00:20:22.560,00:20:22.980,0.420,S-0434,S-0435,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0359,Internal,00:20:23.780,00:20:24.500,0.720,S-0435,S-0436,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0360,Internal,00:20:31.680,00:20:31.840,0.160,S-0438,S-0439,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0361,Internal,00:20:33.080,00:20:33.180,0.100,S-0439,S-0440,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0362,Internal,00:20:35.480,00:20:35.580,0.100,S-0440,S-0441,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0363,Internal,00:20:36.760,00:20:36.860,0.100,S-0441,S-0442,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0364,Internal,00:20:38.840,00:20:39.160,0.320,S-0442,S-0443,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0365,Internal,00:20:41.060,00:20:41.140,0.080,S-0443,S-0444,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0366,Internal,00:20:42.100,00:20:42.160,0.060,S-0444,S-0445,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0367,Internal,00:20:43.940,00:20:44.280,0.340,S-0445,S-0446,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
