Segment_ID,Start,End,Speaker,Speaker_Confidence,Speaker_Basis,Machine_HE,Reviewed_HE,Machine_EN,Reviewed_EN,Content_Class,Preliminary_Disposition,Control_IDs,External_Claim_IDs,Reviewer_A,Reviewer_B,Disagreement,Adjudication,Review_Status,Evidence_Link
S-0200,00:10:45.670,00:10:49.110,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"בינתיים אין דיבור על הכנסה לעולם הרפואי,",,"for now there is no talk of the entry into the medical world,",,Requirement,Control-linked,R-19,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0200
S-0201,00:10:49.230,00:10:52.450,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אבל זה כאילו אחת השאלות שאני באתי כאילו היום,",,"but this is like one of the questions I came here today to ask you,",,Requirement,Control-linked,R-19,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0201
S-0202,00:10:52.630,00:10:54.320,Unresolved,Unknown,No automatic diarization; human audiovisual review required,ולשאול אותך עליהן.,,and to ask you about them.,,Requirement,Control-linked,R-19,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0202
S-0203,00:10:54.320,00:10:54.760,Unresolved,Unknown,No automatic diarization; human audiovisual review required,אוקיי.,,Okay.,,Requirement,Control-linked,R-19,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0203
S-0204,00:10:56.060,00:10:56.760,Unresolved,Unknown,No automatic diarization; human audiovisual review required,אז כאילו...,,So...,,Requirement,Control-linked,R-19,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0204
S-0205,00:10:56.760,00:11:01.160,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"קודם כל, אתה תוכל להשתמש בדברים שאתה עושה לעבודה כמובן אצל פנינה,",,"First, you will be able to use what you do for work naturally with Pina,",,Requirement,Control-linked,R-19,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0205
S-0206,00:11:01.260,00:11:06.180,Unresolved,Unknown,No automatic diarization; human audiovisual review required,גם לצורך ההצעה כמובן.,,also for the proposal of course.,,Requirement,Control-linked,R-19,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0206
S-0207,00:11:06.680,00:11:11.680,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"עכשיו, באמת, אולי אחרי שדיברנו על כל המנהלות וכל הדברים האלה,",,"Now, really, maybe after we talked about all the managers and these things,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0207
S-0208,00:11:11.980,00:11:19.300,Unresolved,Unknown,No automatic diarization; human audiovisual review required,בואו ננסה אולי לדבר על מה אנחנו רוצים לעשות.,,let's try to talk maybe about what we want to do.,,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0208
S-0209,00:11:19.300,00:11:22.580,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"זאת אומרת, כדי להרחיב את זה לעולם הרפואי.",,"That means, in order to expand this into the medical world.",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0209
S-0210,00:11:24.120,00:11:26.460,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"יש לנו שתי אפשרויות,",,"We have two options,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0210
S-0211,00:11:29.150,00:11:33.170,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אולי יותר, אבל שתי אפשרויות שאני חושבת עליהן כרגע,",,"or perhaps more, but two options that I'm thinking of right now,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0211
S-0212,00:11:33.590,00:11:36.550,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"ואני אשמח לשמוע גם את מה שלך יש להגיד עלי,",,"and I would be happy to hear what you have to say about them,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0212
S-0213,00:11:36.650,00:11:39.470,Unresolved,Unknown,No automatic diarization; human audiovisual review required,וגם למה שלך יש להגיד על זה ארדון.,,and why you think they should be done.,,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0213
S-0214,00:11:39.470,00:11:42.390,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אפשרות אחת זה להגיד שהתזה,",,"One option is to say that the thesis is about,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0214
S-0215,00:11:42.870,00:11:45.770,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"human intervention, בהקשר הזה,",,"human intervention, in this context,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0215
S-0216,00:11:46.090,00:11:48.010,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"ולתת שלוש שאלות על הדברים האלה,",,"and to pose three questions regarding these matters,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0216
S-0217,00:11:48.290,00:11:52.470,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"כאשר העולם הרפואי והעולם של המודלינג,",,"when the medical world and the modeling world,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0217
S-0218,00:11:53.370,00:11:57.630,Unresolved,Unknown,No automatic diarization; human audiovisual review required,יהיו בעצם שני דומיינים שאנחנו בודקים את שלוש השאלות האלה עליהן.,,will essentially be two domains we are checking these three questions on.,,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0218
S-0219,00:11:57.970,00:12:00.410,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"זאת אומרת, זה יהיה בעצם אורתוגונלי לדבר הזה.",,This means that it will essentially be orthogonal to this matter.,,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0219
S-0220,00:12:00.410,00:12:03.750,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"יהיה לנו את השאלות מחקר, שהן קשורות ל-human intervention,",,"We will have research questions related to human intervention,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0220
S-0221,00:12:03.750,00:12:07.650,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"ויהיו לנו שני דומיינים, עולם רפואי,",,"and we will have two domains, a medical world,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0221
S-0222,00:12:08.010,00:12:13.470,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"עולם של, בואו נקרא לזה של software engineering, אוקיי?",,"a world of, let's call it software engineering, okay?",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0222
S-0223,00:12:13.710,00:12:15.170,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"או software modeling, אוקיי?",,"or software modeling, okay?",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0223
S-0224,00:12:15.610,00:12:20.770,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אז זה שני הדברים, ובעצם את כל השאלות אנחנו נשאול על כל אחד מהדברים האלה,",,"So these are the two things, and essentially all the questions we will ask about each of these things,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0224
S-0225,00:12:20.850,00:12:26.030,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"וכשניתן את הפתרון, בעצם יהיה לנו שני דרכים לעשות.",,"and when given the solution, essentially we will have two ways to do it.",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0225
S-0226,00:12:26.030,00:12:30.790,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אפשרות אחרת זה לא להסתכל על זה בצורה הזאת,",,"Another option is not to look at it this way,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0226
S-0227,00:12:30.850,00:12:33.430,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"ולשאול שלוש שאלות שהן רלוונטיות,",,"and to ask three relevant questions,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0227
S-0228,00:12:33.750,00:12:35.990,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"לעולם הרפואי,",,"in the medical world,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0228
S-0229,00:12:36.570,00:12:38.630,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"ולהגיד שהשאלה הראשונה בעצם,",,"and to say that the first question actually,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0229
S-0230,00:12:38.730,00:12:42.890,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"מאחר שאנחנו רוצים לא להכניס אותן ישר לעולם הרפואי,",,"since we want not to directly bring them into the medical world,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0230
S-0231,00:12:43.190,00:12:45.610,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"היא כן תתייחס לסופטור מודלינג,",,"is yes, to consider model modeling.",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0231
S-0232,00:12:45.930,00:12:48.930,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"היא כן תתייחס לדברים האלה,",,"She will indeed address these matters,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0232
S-0233,00:12:49.130,00:12:50.450,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"ואחרי זה שאלות שתיים ושלוש,",,"and after that, questions two and three,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0233
S-0234,00:12:50.530,00:12:52.590,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"בעצם בונות על שאלה אחת,",,"essentially building on one question,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0234
S-0235,00:12:52.790,00:12:55.050,Unresolved,Unknown,No automatic diarization; human audiovisual review required,ועולה אוחות רק לעולם הרפואי.,,and the oak will only rise into the medical world.,,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0235
S-0236,00:12:55.050,00:13:00.770,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"זאת אומרת, לא יהיה לנו מצריצה שלמה של שלוש שאלות מול שני תחומים,",,"This means, there won't be a complete squeeze of three questions against two fields,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0236
S-0237,00:13:01.050,00:13:02.370,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אלא יהיה לנו שלוש שאלות,",,"but we will have three questions,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0237
S-0238,00:13:02.370,00:13:07.850,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"השאלה הראשונה תענה על ידי התחום של הסופטור אינג'ינירים,",,"the first question will be answered by the field of spectroscopy engineers,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0238
S-0239,00:13:08.150,00:13:12.390,Unresolved,Unknown,No automatic diarization; human audiovisual review required,ושתי השאלות הבאות תעננה על ידי התחום של העולם הרפואי.,,and the next two questions will be answered by the medical world.,,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0239
S-0240,00:13:13.140,00:13:14.300,Unresolved,Unknown,No automatic diarization; human audiovisual review required,הייתי מספיק ברורה?,,Was I clear enough?,,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0240
S-0241,00:13:14.300,00:13:19.570,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"כן, אני חושב יותר על ההצעה השנייה,",,"Yes, I think I am more focused on the second proposal,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0241
S-0242,00:13:19.790,00:13:21.710,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"שאנחנו נתחיל עם סופטור אינג'ינירים,",,"that we start with spectroscopy engineers,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0242
S-0243,00:13:21.850,00:13:24.590,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"כי זה מה שאנחנו בפועל התחלנו גם לעבוד עליו,",,"because this is what we actually started working on as well,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0243
S-0244,00:13:24.810,00:13:26.910,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"גם מבחינת דאטה, גם מבחינת ארכיטקטורה,",,"both in terms of data and architecture,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0244
S-0245,00:13:27.070,00:13:30.810,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"כאילו, שהיא גם כללית שאנחנו רוצים לעשות לג'ינורליזיישן,",,"as if it's also general enough for us to do a generalization,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0245
S-0246,00:13:31.110,00:13:32.310,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"גם לעולם הרפואי,",,"even into the medical world,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0246
S-0247,00:13:32.790,00:13:34.410,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אז נתחיל עם השאלה הזאת,",,"so let's start with this question,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0247
S-0248,00:13:34.410,00:13:36.870,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"ואנחנו כאילו כבר בא, יכולים להגיד,",,"and we are kind of already there, we can say,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0248
S-0249,00:13:37.510,00:13:40.010,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"ומשם אנחנו יכולים להתקדם לעולם הרפואי,",,and from there we can proceed into the medical world.,,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0249
S-0250,00:13:40.070,00:13:40.870,Unresolved,Unknown,No automatic diarization; human audiovisual review required,למדיביריה.,,Libiuria.,,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0250
S-0251,00:13:41.130,00:13:43.830,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"נכון, הנקודה שמה שצריך לחשוב,",,"Correct, the point is what we need to think about,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0251
S-0252,00:13:44.310,00:13:46.730,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"וזה, אני לא אומרת שזה לא אפשרי,",,"and this, I'm not saying it's impossible,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0252
S-0253,00:13:46.790,00:13:48.810,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"גם אני נוטה לאפשרות השנייה,",,"and I tend towards the second possibility,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0253
S-0254,00:13:48.890,00:13:50.730,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"דרך אגב, יכול להיות שיש עוד אפשרויות,",,"By the way, there might be additional possibilities,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0254
S-0255,00:13:50.830,00:13:53.830,Unresolved,Unknown,No automatic diarization; human audiovisual review required,אבל זה האפשרויות שאני כרגע רואה אותם.,,but these are the ones I see currently.,,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0255
S-0256,00:13:56.030,00:13:57.650,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"הבעיה שלי עם האפשרות הזאת,",,"The problem with this possibility,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0256
S-0257,00:13:58.290,00:14:00.070,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"שאני, כמו שאמרתי, נוטה אליה,",,"as I said, that I tend towards it,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0257
S-0258,00:14:00.070,00:14:01.810,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"זה שאנחנו צריכים לחשוב,",,"is that we need to think,",,Requirement,Control-linked,R-01; Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0258
S-0259,00:14:01.910,00:14:04.310,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"כמו שאמרתי לך בשאלות מחקר,",,"as I told you in the research questions,",,Requirement,Control-linked,R-01; Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0259
S-0260,00:14:04.410,00:14:06.670,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אנחנו צריכים להגדיר שאלת מחקר,",,"we need to define a research question,",,Requirement,Control-linked,R-01; Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0260
S-0261,00:14:06.750,00:14:07.770,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"שעוטפת את הכל,",,"that encompasses everything,",,Requirement,Control-linked,R-01; Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0261
S-0262,00:14:08.070,00:14:09.810,Unresolved,Unknown,No automatic diarization; human audiovisual review required,ואז לפרק אותה לשלוש שאלות.,,and then break it down into three questions.,,Requirement,Control-linked,R-01; Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0262
S-0263,00:14:10.010,00:14:11.450,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אז אנחנו צריכים לחשוב,",,"So we need to think,",,Requirement,Control-linked,R-01; Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0263
S-0264,00:14:11.770,00:14:15.510,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"איך להגדיר את השאלת מחקר הראשית,",,"how to define the main research question,",,Requirement,Control-linked,R-01; Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0264
S-0265,00:14:16.070,00:14:16.790,Unresolved,Unknown,No automatic diarization; human audiovisual review required,לצורך העניין.,,for the sake of this matter.,,Requirement,Control-linked,R-01; Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0265
S-0266,00:14:18.000,00:14:21.020,Unresolved,Unknown,No automatic diarization; human audiovisual review required,ואז צריך לראות איך אנחנו מגדירים את הדברים האלה.,,And then see how we define these things.,,Requirement,Control-linked,R-01; Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0266
S-0267,00:14:21.620,00:14:25.760,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"ארנון, יש לך גם תובנות או רעיונות?",,"Arnon, do you have any insights or ideas?",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0267
S-0268,00:14:25.920,00:14:28.500,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"למרות שאני נוטה גם לאפשרות השנייה,",,"Although I lean towards the second possibility as well,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0268
S-0269,00:14:28.500,00:14:31.600,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אני חושב שכדאי שנתרכז באפשרות הראשונה,",,"I think it's better to focus on the first possibility,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0269
S-0270,00:14:31.920,00:14:33.380,Unresolved,Unknown,No automatic diarization; human audiovisual review required,לפחות להגדיר את שלוש השאלות.,,at least to define the three questions.,,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0270
S-0271,00:14:33.620,00:14:34.500,Unresolved,Unknown,No automatic diarization; human audiovisual review required,למה אני אומר את זה?,,Why am I saying this?,,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0271
S-0272,00:14:35.690,00:14:37.190,Unresolved,Unknown,No automatic diarization; human audiovisual review required,הדומיין הרפואי הוא מסוכן.,,The medical domain is risky.,,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0272
S-0273,00:14:38.980,00:14:40.480,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אתה צריך גישה למומחים,",,"You need access to experts,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0273
S-0274,00:14:40.620,00:14:41.780,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אתה צריך גישה לדייטה,",,"you need access to diet,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0274
S-0275,00:14:41.920,00:14:43.980,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"ויש סיכון מסוים,",,"and there is a certain risk,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0275
S-0276,00:14:44.180,00:14:45.700,Unresolved,Unknown,No automatic diarization; human audiovisual review required,אם יהיו לא טוב גישה לנתונים האלה.,,if data access isn't good.,,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0276
S-0277,00:14:46.420,00:14:48.500,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"וכדי לשמור עליך במסגר של הדוקטורט,",,"And in order to maintain you during your doctoral program,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0277
S-0278,00:14:49.040,00:14:51.600,Unresolved,Unknown,No automatic diarization; human audiovisual review required,בואו נעשה את השאלות ניטרליות לדומיין.,,let's make the questions neutral regarding the domain.,,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0278
S-0279,00:14:52.270,00:14:53.050,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"במקרה הכי גרוע,",,"In the worst-case scenario,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0279
S-0280,00:14:53.130,00:14:55.110,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אנחנו יכולים ללכת רק לדומיין של סופט שרינג'נרינג,",,"we can go only to the domain of software sharing',",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0280
S-0281,00:14:55.170,00:14:57.090,Unresolved,Unknown,No automatic diarization; human audiovisual review required,ולא למודל של רפואה.,,and not to a medical model.,,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0281
S-0282,00:14:57.090,00:14:59.770,Unresolved,Unknown,No automatic diarization; human audiovisual review required,זה מה שאני חושב.,,This is what I think.,,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0282
S-0283,00:15:01.710,00:15:04.570,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אוקיי, נקודה שהיא חשובה.",,"Okay, this point is important.",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0283
S-0284,00:15:05.050,00:15:09.330,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"זאת אומרת, אני אחזור על מה שארנון אומר,",,"It means that I will reiterate what Arnon says,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0284
S-0285,00:15:10.590,00:15:13.430,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"ואולי גם תוך כדי זה אני אדקן אותך,",,and perhaps also during this I will mentor you.,,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0285
S-0286,00:15:13.430,00:15:13.870,Unresolved,Unknown,No automatic diarization; human audiovisual review required,עלי.,,Ali.,,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0286
S-0287,00:15:17.090,00:15:21.430,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אנחנו עובדים באופן אינטנסיבי על העולם הרפואי,",,"We are working intensively on the medical world,",,Open question,Control-linked,Q-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0287
